,author_code,ebook_link,ebook_title,other_info,other_info.1,other_info.2,other_info.3,other_info.4,other_info.5,author_Name,author_Surname,clean_birth_year,clean_death_year,century,link_txt
3978,a43450,/ebooks/45787,"Zofloya, ou le Maure, Histoire du XVe siècle",,,,,,,Viterne, Madame de,,,,http://www.gutenberg.org/cache/epub/45787/pg45787.txt
3979,a622,/ebooks/56545,L'Alfabet européen appliqué aux langues asiatiques,<br/>,"OEuvres de C.-F. Volney, tome VIII",,,,,Volney, C.-F. (Constantin-François),1757,1820,18,http://www.gutenberg.org/cache/epub/56545/pg56545.txt
3980,a622,/ebooks/39811,"Leçons d'histoire,
",<br/>,"prononcées à l'École normale; en l'an III de la République Française; Histoire de Samuel, inventeur du sacre des rois; État physique de la Corse.",,,,,Volney, C.-F. (Constantin-François),1757,1820,18,http://www.gutenberg.org/cache/epub/39811/pg39811.txt
3981,a622,/ebooks/40025,"Recherches nouvelles sur l'histoire ancienne, tome I",,,,,,,Volney, C.-F. (Constantin-François),1757,1820,18,http://www.gutenberg.org/cache/epub/40025/pg40025.txt
3982,a622,/ebooks/47623,"Recherches nouvelles sur l'histoire ancienne, tome II",,,,,,,Volney, C.-F. (Constantin-François),1757,1820,18,http://www.gutenberg.org/cache/epub/47623/pg47623.txt
3983,a622,/ebooks/27931,"Les Ruines, ou méditation sur les révolutions des empires",,,,,,,Volney, C.-F. (Constantin-François),1757,1820,18,http://www.gutenberg.org/cache/epub/27931/pg27931.txt
3984,a622,/ebooks/46870,"Tableau du climat et du sol des États-Unis d'Amérique
",<br/>,"Suivi d'éclaircissemens sur la Floride, sur la colonie française au Scioto, sur quelques colonies canadiennes, et sur les sauvages",,,,,Volney, C.-F. (Constantin-François),1757,1820,18,http://www.gutenberg.org/cache/epub/46870/pg46870.txt
3985,a622,/ebooks/38242,Voyage en Égypte et en Syrie - Tome 1,,,,,,,Volney, C.-F. (Constantin-François),1757,1820,18,http://www.gutenberg.org/cache/epub/38242/pg38242.txt
3986,a622,/ebooks/46469,Voyage en Égypte et en Syrie - Tome 2,,,,,,,Volney, C.-F. (Constantin-François),1757,1820,18,http://www.gutenberg.org/cache/epub/46469/pg46469.txt
3987,a913,/ebooks/18543,Abrégé de l'Histoire universelle depuis Charlemagne jusques à Charlequint (Tome 1),,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/18543/pg18543.txt
3988,a913,/ebooks/4771,Le Blanc et le Noir,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/4771/pg4771.txt
3989,a913,/ebooks/59859,"Candide, ou, l'optimisme",,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/59859/pg59859.txt
3990,a913,/ebooks/4650,"Candide, ou, L'optimisme",,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/4650/pg4650.txt
3991,a913,/ebooks/44017,"Le Cathécumène, traduit du chinois",,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/44017/pg44017.txt
3992,a913,/ebooks/25734,Correspondance de Voltaire avec le roi de Prusse,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/25734/pg25734.txt
3993,a913,/ebooks/50340,Elémens de la philosophie de Neuton: Mis à la portée de tout le monde,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/50340/pg50340.txt
3994,a913,/ebooks/4718,Histoire des voyages de Scarmentado,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/4718/pg4718.txt
3995,a913,/ebooks/4651,L'Ingénu,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/4651/pg4651.txt
3996,a913,/ebooks/4772,Jeannot et Colin,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/4772/pg4772.txt
3997,a913,/ebooks/4648,Memnon ou la sagesse humaine,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/4648/pg4648.txt
3998,a913,/ebooks/4649,Micromégas,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/4649/pg4649.txt
3999,a913,/ebooks/5138,"Le Monde comme il va, vision de Babouc",,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/5138/pg5138.txt
4000,a913,/ebooks/15804,La mort de César: Tragédie,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/15804/pg15804.txt
4001,a913,/ebooks/15805,"La mort de César,
",<br/>,"tragédie en trois actes de Voltaire, avec les changemens fait par le citoyen Gohier, ministre de la Justice",,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/15805/pg15805.txt
4002,a913,/ebooks/29772,Notes de Voltaire et de Condorcet sur les pensées de Pascal,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/29772/pg29772.txt
4003,a913,/ebooks/42131,Traité sur la tolérance,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/42131/pg42131.txt
4004,a913,/ebooks/3644,Vie de Molière,,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/3644/pg3644.txt
4005,a913,/ebooks/4647,"Zadig, ou la Destinée, histoire orientale",,,,,,,Voltaire, 1694-1778,,,,http://www.gutenberg.org/cache/epub/4647/pg4647.txt
4006,a34164,/ebooks/29783,"Leçons sur l'intégration des équations différentielles aux dérivées partielles,
",<br/>,Professées à Stockholm sur l'invitation de S. M. le Roi de Suède,,,,,Volterra, Vito,1860,1940,19,http://www.gutenberg.org/cache/epub/29783/pg29783.txt
4007,a42610,/ebooks/44157,Entre Nous: Lectures françaises à l'usage des écoles primaires - I,,,,,,,Vos, Lucie,,,,http://www.gutenberg.org/cache/epub/44157/pg44157.txt
4008,a42610,/ebooks/44157,Entre Nous: Lectures françaises à l'usage des écoles primaires - I,,,,,,,Vos, Lucie,,,,http://www.gutenberg.org/cache/epub/44157/pg44157.txt
4009,a50752,/ebooks/60030,"Lucien Leuwen; ou, l'Amarante et le Noir. Tome Premier",,,,,,,Vox, Maximilien,1894,1974,20,http://www.gutenberg.org/cache/epub/60030/pg60030.txt
4010,a50752,/ebooks/60033,"Lucien Leuwen; ou, l'Amarante et le Noir. Tome Second",,,,,,,Vox, Maximilien,1894,1974,20,http://www.gutenberg.org/cache/epub/60033/pg60033.txt
4011,a25671,/ebooks/44323,La vie simple,,,,,,,Wagner, Charles,1852,1918,19,http://www.gutenberg.org/cache/epub/44323/pg44323.txt
4012,a1325,/ebooks/49977,La Tétralogie de l'Anneau du Nibelung,,,,,,,Wagner, Richard,1813,1883,19,http://www.gutenberg.org/cache/epub/49977/pg49977.txt
4013,a1325,/ebooks/26943,Le Vaisseau fantôme (Der Fliegende Holländer),,,,,,,Wagner, Richard,1813,1883,19,http://www.gutenberg.org/cache/epub/26943/pg26943.txt
4014,a1228,/ebooks/28176,"Mémoires de Constant, premier valet de chambre de l'empereur, sur la vie privée de Napoléon, sa famille et sa cour.",,,,,,,Wairy, Louis Constant,1778,1845,19,http://www.gutenberg.org/cache/epub/28176/pg28176.txt
4015,a45699,/ebooks/50083,"Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, (1/6)",,,,,,,Walckenaer, C. A. (Charles Athanase),1771,1852,19,http://www.gutenberg.org/cache/epub/50083/pg50083.txt
4016,a45699,/ebooks/51364,"Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, (2/6)",,,,,,,Walckenaer, C. A. (Charles Athanase),1771,1852,19,http://www.gutenberg.org/cache/epub/51364/pg51364.txt
4017,a45699,/ebooks/51802,"Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, (3/6)",,,,,,,Walckenaer, C. A. (Charles Athanase),1771,1852,19,http://www.gutenberg.org/cache/epub/51802/pg51802.txt
4018,a45699,/ebooks/52282,"Mémoires touchant la vie et les ecrits de Marie de Rabutin-Chantal, (4/6)",,,,,,,Walckenaer, C. A. (Charles Athanase),1771,1852,19,http://www.gutenberg.org/cache/epub/52282/pg52282.txt
4019,a45699,/ebooks/52428,"Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, (5/6)",,,,,,,Walckenaer, C. A. (Charles Athanase),1771,1852,19,http://www.gutenberg.org/cache/epub/52428/pg52428.txt
4020,a9255,/ebooks/20372,"Nouvelle relation de l'itinéraire de Napoléon, de Fontainebleau à l'Île d'Elbe",,,,,,,Waldburg, Friedrich Ludwig Truchsess,,1844,,http://www.gutenberg.org/cache/epub/20372/pg20372.txt
4021,a4091,/ebooks/11748,French Conversation and Composition,,,,,,,Wann, Harry Vincent,1887,,20,http://www.gutenberg.org/cache/epub/11748/pg11748.txt
4022,a4091,/ebooks/11748,French Conversation and Composition,,,,,,,Wann, Harry Vincent,1887,,20,http://www.gutenberg.org/cache/epub/11748/pg11748.txt
4023,a2629,/ebooks/57584,The Book of the Homeless (Le livre des sans-foyer),,,,,,,Ward, Humphry,,1920,,http://www.gutenberg.org/cache/epub/57584/pg57584.txt
4024,a2629,/ebooks/57584,The Book of the Homeless (Le livre des sans-foyer),,,,,,,Ward, Humphry,,1920,,http://www.gutenberg.org/cache/epub/57584/pg57584.txt
4025,a49666,/ebooks/58063,Voyage en Espagne d'un Ambassadeur Marocain (1690-1691),,,,,,,Wazir al-Ghassani, Muhammad ibn Abd al-Wahhab,,,,http://www.gutenberg.org/cache/epub/58063/pg58063.txt
4026,a42733,/ebooks/44402,Les illusions musicales et la vérité sur l'expression,,,,,,,Weber, Johannès,1818,1902,19,http://www.gutenberg.org/cache/epub/44402/pg44402.txt
4027,a42392,/ebooks/43760,Les grands froids,,,,,,,Weber, Theodore,,,,http://www.gutenberg.org/cache/epub/43760/pg43760.txt
4028,a45015,/ebooks/48878,"Chansons de France pour les petits Français
",<br/>,Accompagnements de J.B. Weckerlin; Illustrations de M. Boutet de Monvel,,,,,Weckerlin, J.-B. (Jean-Baptiste),1821,1910,19,http://www.gutenberg.org/cache/epub/48878/pg48878.txt
4029,a50319,/ebooks/59151,Gerfaut,,,,,,,Weisz, Adolphe,1838,1916,19,http://www.gutenberg.org/cache/epub/59151/pg59151.txt
4030,a51558,/ebooks/61675,Ellen,,,,,,,Welie, Antoon van,1866,1956,19,http://www.gutenberg.org/cache/epub/61675/pg61675.txt
4031,a4500,/ebooks/12472,Bataille de dames,,,,,,,Wells, B. W. (Benjamin Willis),1856,1923,19,http://www.gutenberg.org/cache/epub/12472/pg12472.txt
4032,a4500,/ebooks/12472,Bataille de dames,,,,,,,Wells, B. W. (Benjamin Willis),1856,1923,19,http://www.gutenberg.org/cache/epub/12472/pg12472.txt
4033,a30,/ebooks/60656,La guerre des mondes,,,,,,,Wells, H. G. (Herbert George),1866,1946,19,http://www.gutenberg.org/cache/epub/60656/pg60656.txt
4034,a38616,/ebooks/37050,Le Roi de Rome (1811-1832),,,,,,,Welschinger, Henri,1846,1919,19,http://www.gutenberg.org/cache/epub/37050/pg37050.txt
4035,a51390,/ebooks/61373,Les Bourgeois de Witzheim,,,,,,,Welsch, Paul,1889,1954,20,http://www.gutenberg.org/cache/epub/61373/pg61373.txt
4036,a49490,/ebooks/57584,The Book of the Homeless (Le livre des sans-foyer),,,,,,,Wendell, Barrett,1855,1921,19,http://www.gutenberg.org/cache/epub/57584/pg57584.txt
4037,a49490,/ebooks/57584,The Book of the Homeless (Le livre des sans-foyer),,,,,,,Wendell, Barrett,1855,1921,19,http://www.gutenberg.org/cache/epub/57584/pg57584.txt
4038,a8704,/ebooks/58510,"Madame Adam (Juliette Lambert), la grande Française
",<br/>,from Louis Philippe until 1917,,,,,Whale, Winifred Stephens,1870,1944,20,http://www.gutenberg.org/cache/epub/58510/pg58510.txt
4039,a104,/ebooks/57584,The Book of the Homeless (Le livre des sans-foyer),,,,,,,Wharton, Edith,1862,1937,19,http://www.gutenberg.org/cache/epub/57584/pg57584.txt
4040,a104,/ebooks/57584,The Book of the Homeless (Le livre des sans-foyer),,,,,,,Wharton, Edith,1862,1937,19,http://www.gutenberg.org/cache/epub/57584/pg57584.txt
